date,temperature,humidity,luminosity
2020-12-03 16:21:43.629,18.9,21.4,65
2020-12-03 16:21:41.356,18.9,21.4,63
2020-12-03 16:21:39.083,18.9,21.4,64
2020-12-03 16:21:36.805,18.9,21.4,64
2020-12-03 16:21:34.532,18.9,21.4,64
2020-12-03 16:21:32.274,18.9,21.4,64
2020-12-03 16:21:29.982,18.9,21.4,61
2020-12-03 16:21:27.708,18.9,21.4,63
2020-12-03 16:21:25.431,18.9,21.4,63
2020-12-03 16:21:23.158,18.9,21.4,64
2020-12-03 16:21:20.885,18.9,21.4,66
2020-12-03 16:21:18.607,18.9,21.4,66
2020-12-03 16:21:16.334,18.9,21.3,66
2020-12-03 16:21:14.061,18.9,21.3,66
2020-12-03 16:21:11.783,18.9,21.3,66
2020-12-03 16:21:09.510,18.9,21.3,66
2020-12-03 16:21:07.233,18.9,21.3,66
2020-12-03 16:21:04.959,18.9,21.3,65
2020-12-03 16:21:02.686,18.9,21.3,65
2020-12-03 16:21:00.409,18.9,21.3,65
2020-12-03 16:20:58.136,18.9,21.3,65
2020-12-03 16:20:55.862,18.9,21.3,65
2020-12-03 16:20:53.585,18.9,21.3,65
2020-12-03 16:20:51.312,18.9,21.3,64
2020-12-03 16:20:49.038,18.9,21.3,65
2020-12-03 16:20:46.761,18.9,21.3,63
2020-12-03 16:20:44.488,18.9,21.3,63
2020-12-03 16:20:42.211,18.9,21.2,63
2020-12-03 16:20:39.938,18.9,21.2,63
2020-12-03 16:20:37.664,18.9,21.2,63
2020-12-03 16:20:35.387,18.9,21.2,63
2020-12-03 16:20:33.114,18.9,21.2,63
2020-12-03 16:20:30.840,18.9,21.2,63
2020-12-03 16:20:28.563,18.9,21.2,64
2020-12-03 16:20:26.290,18.9,21.2,64
2020-12-03 16:20:24.017,18.9,21.2,64
2020-12-03 16:20:21.739,18.9,21.2,64
2020-12-03 16:20:19.466,18.9,21.2,64
2020-12-03 16:20:17.193,18.9,21.3,64
2020-12-03 16:20:14.915,18.9,21.3,64
2020-12-03 16:20:12.642,18.9,21.3,65
2020-12-03 16:20:10.369,18.9,21.3,65
2020-12-03 16:20:08.092,18.9,21.4,66
2020-12-03 16:20:05.818,18.9,21.4,65
2020-12-03 16:20:03.541,18.9,21.3,65
2020-12-03 16:20:01.268,18.9,21.3,65
2020-12-03 16:19:58.995,18.9,21.3,65
2020-12-03 16:19:56.717,18.9,21.3,65
2020-12-03 16:19:54.444,18.9,21.2,65
2020-12-03 16:19:52.171,18.9,21.2,65
2020-12-03 16:19:49.893,18.9,21.2,65
2020-12-03 16:19:47.620,18.9,21.2,65
2020-12-03 16:19:45.347,18.9,21.2,66
2020-12-03 16:19:43.069,18.9,21.2,66
2020-12-03 16:19:40.796,18.9,21.2,65
2020-12-03 16:19:38.523,18.9,21.2,65
2020-12-03 16:19:36.246,18.9,21.2,64
2020-12-03 16:19:33.972,18.9,21.2,65
2020-12-03 16:19:31.695,18.9,21.3,65
2020-12-03 16:19:29.422,18.9,21.2,65
2020-12-03 16:19:27.148,18.9,21.2,65
2020-12-03 16:19:24.871,18.9,21.1,65
2020-12-03 16:19:22.598,18.9,21.1,65
2020-12-03 16:19:20.325,18.9,21.1,65
2020-12-03 16:19:18.047,18.9,21.1,65
2020-12-03 16:19:15.774,18.9,21.1,65
2020-12-03 16:19:13.501,18.9,21.1,65
2020-12-03 16:19:11.223,18.9,21.1,65
2020-12-03 16:19:08.950,18.9,21.1,65
2020-12-03 16:19:06.677,18.9,21.1,65
2020-12-03 16:19:04.400,18.9,21.1,65
2020-12-03 16:19:02.126,18.9,21.1,65
2020-12-03 16:18:59.853,18.9,21.1,63
2020-12-03 16:18:57.576,18.9,21.2,63
2020-12-03 16:18:55.302,18.9,21.2,63
2020-12-03 16:18:53.029,18.9,21.3,63
2020-12-03 16:18:50.752,18.9,21.3,64
2020-12-03 16:18:48.479,18.9,21.4,64
2020-12-03 16:18:46.201,18.9,21.4,64
2020-12-03 16:18:43.928,18.9,21.4,61
2020-12-03 16:18:41.654,18.9,21.5,61
2020-12-03 16:18:39.377,18.9,21.5,61
2020-12-03 16:18:37.104,18.9,21.6,61
2020-12-03 16:18:34.830,18.9,21.6,61
2020-12-03 16:18:32.553,18.9,21.7,61
2020-12-03 16:18:30.280,18.9,21.7,61
2020-12-03 16:18:28.002,18.9,21.6,62
2020-12-03 16:18:25.729,18.9,21.6,62
2020-12-03 16:18:23.456,18.9,21.6,62
2020-12-03 16:18:21.179,18.9,21.6,62
2020-12-03 16:18:18.905,18.9,21.5,61
2020-12-03 16:18:16.632,18.9,21.5,61
2020-12-03 16:18:14.355,18.9,21.4,61
2020-12-03 16:18:12.081,18.9,21.4,61
2020-12-03 16:18:09.808,18.9,21.4,61
2020-12-03 16:18:07.531,18.9,21.4,62
2020-12-03 16:18:05.258,18.9,21.4,62
2020-12-03 16:18:02.980,18.9,21.4,62
2020-12-03 16:18:00.707,18.9,21.4,62
2020-12-03 16:17:58.434,18.9,21.4,63
2020-12-03 16:17:56.156,18.9,21.4,63
2020-12-03 16:17:53.883,18.9,21.4,62
2020-12-03 16:17:51.610,18.9,21.4,64
2020-12-03 16:17:49.333,18.9,21.4,64
2020-12-03 16:17:47.059,18.9,21.4,64
2020-12-03 16:17:44.782,18.9,21.4,63
2020-12-03 16:17:42.509,18.9,21.4,64
2020-12-03 16:17:40.235,18.9,21.5,64
2020-12-03 16:17:37.958,18.9,21.5,61
2020-12-03 16:17:35.685,18.9,21.4,63
2020-12-03 16:17:33.412,18.9,21.4,62
2020-12-03 16:17:31.134,18.9,21.5,62
2020-12-03 16:17:28.861,18.9,21.4,62
2020-12-03 16:17:26.584,18.9,21.4,62
2020-12-03 16:17:24.310,18.9,21.4,63
2020-12-03 16:17:22.037,18.9,21.4,63
2020-12-03 16:17:19.760,18.9,21.4,62
2020-12-03 16:17:17.487,18.9,21.3,62
2020-12-03 16:17:15.213,18.9,21.3,62
2020-12-03 16:17:12.936,18.9,21.3,63
2020-12-03 16:17:10.663,18.9,21.3,63
2020-12-03 16:17:08.389,18.9,21.3,65
2020-12-03 16:17:06.112,18.9,21.3,63
2020-12-03 16:17:03.839,18.9,21.3,64
2020-12-03 16:17:01.562,18.9,21.3,63
2020-12-03 16:16:59.288,18.9,21.3,65
2020-12-03 16:16:57.015,18.9,21.3,64
2020-12-03 16:16:54.738,18.9,21.3,65
2020-12-03 16:16:52.464,18.9,21.4,64
2020-12-03 16:16:50.191,18.9,21.4,64
2020-12-03 16:16:47.914,18.9,21.4,64
2020-12-03 16:16:45.641,18.9,21.4,65
2020-12-03 16:16:43.363,18.9,21.4,64
2020-12-03 16:16:41.090,18.9,21.5,64
2020-12-03 16:16:38.816,18.9,21.5,64
2020-12-03 16:16:36.539,18.9,21.6,64
2020-12-03 16:16:34.266,18.9,21.6,63
2020-12-03 16:16:31.993,18.9,21.7,62
2020-12-03 16:16:29.715,18.9,21.8,61
2020-12-03 16:16:27.442,18.9,21.8,63
2020-12-03 16:16:25.169,18.8,21.8,63
2020-12-03 16:16:22.891,18.9,21.9,63
2020-12-03 16:16:20.618,18.9,21.8,63
2020-12-03 16:16:18.341,18.8,21.8,63
2020-12-03 16:16:16.068,18.8,21.8,63
2020-12-03 16:16:13.794,18.8,21.7,64
2020-12-03 16:16:11.517,18.8,21.7,64
2020-12-03 16:16:09.244,18.8,21.6,63
2020-12-03 16:16:06.970,18.8,21.6,63
2020-12-03 16:16:04.693,18.8,21.6,63
2020-12-03 16:16:02.420,18.8,21.6,64
2020-12-03 16:16:00.147,18.8,21.6,64
2020-12-03 16:15:57.869,18.8,21.6,63
2020-12-03 16:15:55.596,18.8,21.5,64
2020-12-03 16:15:53.323,18.8,21.5,61
2020-12-03 16:15:51.045,18.8,21.5,61
2020-12-03 16:15:48.772,18.8,21.5,64
2020-12-03 16:15:46.495,18.8,21.5,64
2020-12-03 16:15:44.222,18.8,21.5,65
2020-12-03 16:15:41.948,18.8,21.5,65
2020-12-03 16:15:39.671,18.8,21.5,65
2020-12-03 16:15:37.398,18.8,21.5,65
2020-12-03 16:15:35.125,18.8,21.5,62
2020-12-03 16:15:32.848,18.8,21.5,59
2020-12-03 16:15:30.575,18.8,21.4,58
2020-12-03 16:15:28.297,18.8,21.4,58
2020-12-03 16:15:26.024,18.8,21.4,58
2020-12-03 16:15:23.751,18.8,21.4,58
2020-12-03 16:15:21.473,18.8,21.3,61
2020-12-03 16:15:19.200,18.8,21.3,61
2020-12-03 16:15:16.927,18.8,21.3,61
2020-12-03 16:15:14.650,18.8,21.3,60
2020-12-03 16:15:12.376,18.8,21.2,60
2020-12-03 16:15:10.103,18.8,21.2,60
2020-12-03 16:15:07.826,18.7,21.1,60
2020-12-03 16:15:05.552,18.8,21.2,65
2020-12-03 16:15:03.279,18.8,21.2,65
2020-12-03 16:15:01.002,18.8,21.2,65
2020-12-03 16:14:58.729,18.8,21.2,64
2020-12-03 16:14:56.455,18.8,21.2,64
2020-12-03 16:14:54.178,18.8,21.2,64
2020-12-03 16:14:51.905,18.8,21.2,64
2020-12-03 16:14:49.631,18.8,21.2,64
2020-12-03 16:14:47.354,18.8,21.3,64
2020-12-03 16:14:45.081,18.8,21.3,64
2020-12-03 16:14:42.808,18.8,21.3,65
2020-12-03 16:14:40.530,18.8,21.3,64
2020-12-03 16:14:38.257,18.8,21.2,63
2020-12-03 16:14:35.983,18.8,21.2,65
2020-12-03 16:14:33.706,18.8,21.2,66
2020-12-03 16:14:31.433,18.8,21.2,65
2020-12-03 16:14:29.160,18.8,21.2,65
2020-12-03 16:14:26.882,18.8,21.3,66
2020-12-03 16:14:24.609,18.8,21.3,65
2020-12-03 16:14:22.336,18.8,21.3,65
2020-12-03 16:14:20.058,18.8,21.3,65
2020-12-03 16:14:17.785,18.8,21.3,65
2020-12-03 16:14:15.512,18.8,21.3,65
2020-12-03 16:14:13.234,18.8,21.3,65
2020-12-03 16:14:10.961,18.8,21.3,65
2020-12-03 16:14:08.688,18.8,21.3,65
2020-12-03 16:14:06.411,18.8,21.4,63
2020-12-03 16:14:04.137,18.8,21.4,63
2020-12-03 16:14:01.864,18.8,21.4,63
2020-12-03 16:13:59.587,18.8,21.4,63
2020-12-03 16:13:57.313,18.8,21.4,62
2020-12-03 16:13:55.036,18.8,21.5,63
2020-12-03 16:13:52.763,18.8,21.5,64
2020-12-03 16:13:50.490,18.8,21.5,64
2020-12-03 16:13:48.212,18.8,21.5,64
2020-12-03 16:13:45.939,18.8,21.5,64
2020-12-03 16:13:43.666,18.8,21.4,64
2020-12-03 16:13:41.388,18.8,21.4,64
2020-12-03 16:13:39.115,18.8,21.4,64
2020-12-03 16:13:36.842,18.8,21.4,64
2020-12-03 16:13:34.564,18.8,21.4,64
2020-12-03 16:13:32.291,18.8,21.4,64
2020-12-03 16:13:30.018,18.8,21.4,64
2020-12-03 16:13:27.740,18.8,21.4,65
2020-12-03 16:13:25.467,18.8,21.3,65
2020-12-03 16:13:23.190,18.8,21.3,65
2020-12-03 16:13:20.917,18.8,21.3,66
2020-12-03 16:13:18.643,18.8,21.2,66
2020-12-03 16:13:16.366,18.8,21.2,66
2020-12-03 16:13:14.093,18.8,21.2,66
2020-12-03 16:13:11.819,18.8,21.2,66
2020-12-03 16:13:09.542,18.8,21.2,65
2020-12-03 16:13:07.269,18.8,21.2,65
2020-12-03 16:13:04.996,18.8,21.2,65
2020-12-03 16:13:02.722,18.8,21.2,65
2020-12-03 16:13:00.445,18.8,21.2,65
2020-12-03 16:12:58.172,18.8,21.2,65
2020-12-03 16:12:55.899,18.8,21.2,64
2020-12-03 16:12:53.621,18.8,21.2,64
2020-12-03 16:12:51.348,18.8,21.2,64
2020-12-03 16:12:49.075,18.8,21.2,64
2020-12-03 16:12:46.797,18.8,21.3,64
2020-12-03 16:12:44.524,18.8,21.3,64
2020-12-03 16:12:42.251,18.8,21.3,64
2020-12-03 16:12:39.973,18.9,21.4,63
2020-12-03 16:12:37.700,18.9,21.4,61
2020-12-03 16:12:35.423,18.9,21.5,62
2020-12-03 16:12:33.150,18.9,21.5,62
2020-12-03 16:12:30.877,18.9,21.6,60
2020-12-03 16:12:28.599,18.9,21.6,59
2020-12-03 16:12:26.326,18.9,21.6,61
2020-12-03 16:12:24.053,18.9,21.7,61
2020-12-03 16:12:21.776,18.9,21.7,61
2020-12-03 16:12:19.502,18.9,21.8,61
2020-12-03 16:12:17.225,18.9,21.8,61
2020-12-03 16:12:14.952,18.9,21.9,60
2020-12-03 16:12:12.679,18.9,22.0,61
2020-12-03 16:12:10.401,18.9,22.0,61
2020-12-03 16:12:08.128,18.9,22.1,61
2020-12-03 16:12:05.855,18.9,22.2,61
2020-12-03 16:12:03.577,18.9,22.1,61
2020-12-03 16:12:01.304,18.9,22.1,61
2020-12-03 16:11:59.027,18.9,22.1,61
2020-12-03 16:11:56.753,18.9,22.1,61
2020-12-03 16:11:54.480,18.8,22.0,61
2020-12-03 16:11:52.203,18.8,21.9,61
2020-12-03 16:11:49.930,18.8,21.9,61
2020-12-03 16:11:47.656,18.8,21.9,61
2020-12-03 16:11:45.379,18.8,21.8,62
2020-12-03 16:11:43.106,18.8,21.8,61
2020-12-03 16:11:40.828,18.8,21.7,61
2020-12-03 16:11:38.555,18.8,21.7,61
2020-12-03 16:11:36.282,18.8,21.6,61
2020-12-03 16:11:34.005,18.8,21.5,62
2020-12-03 16:11:31.732,18.8,21.5,64
2020-12-03 16:11:29.458,18.8,21.5,63
2020-12-03 16:11:27.181,18.8,21.4,63
2020-12-03 16:11:24.908,18.8,21.4,63
2020-12-03 16:11:22.634,18.8,21.4,63
2020-12-03 16:11:20.357,18.8,21.4,63
2020-12-03 16:11:18.084,18.8,21.3,64
2020-12-03 16:11:15.811,18.8,21.3,61
2020-12-03 16:11:13.533,18.8,21.3,65
2020-12-03 16:11:11.260,18.8,21.3,65
2020-12-03 16:11:08.983,18.8,21.3,65
2020-12-03 16:11:06.710,18.8,21.3,65
2020-12-03 16:11:04.436,18.8,21.3,65
2020-12-03 16:11:02.159,18.8,21.3,65
2020-12-03 16:10:59.886,18.8,21.3,65
2020-12-03 16:10:57.612,18.8,21.3,65
2020-12-03 16:10:55.335,18.8,21.3,64
2020-12-03 16:10:53.062,18.8,21.3,65
2020-12-03 16:10:50.789,18.8,21.3,66
2020-12-03 16:10:48.511,18.8,21.3,66
2020-12-03 16:10:46.238,18.8,21.3,66
2020-12-03 16:10:43.965,18.8,21.3,66
2020-12-03 16:10:41.687,18.8,21.3,66
2020-12-03 16:10:39.414,18.8,21.4,65
2020-12-03 16:10:37.141,18.8,21.4,65
2020-12-03 16:10:34.863,18.8,21.3,64
2020-12-03 16:10:32.590,18.8,21.3,64
2020-12-03 16:10:30.316,18.8,21.3,65
2020-12-03 16:10:28.039,18.8,21.3,65
2020-12-03 16:10:25.765,18.8,21.2,64
2020-12-03 16:10:23.492,18.8,21.3,64
2020-12-03 16:10:21.215,18.8,21.3,63
2020-12-03 16:10:18.942,18.8,21.3,64
2020-12-03 16:10:16.664,18.8,21.3,65
2020-12-03 16:10:14.391,18.8,21.3,65
2020-12-03 16:10:12.118,18.8,21.3,65
2020-12-03 16:10:09.840,18.8,21.3,64
2020-12-03 16:10:07.567,18.8,21.4,65
2020-12-03 16:10:05.294,18.8,21.4,65
2020-12-03 16:10:03.017,18.8,21.4,65
2020-12-03 16:10:00.743,18.8,21.4,65
2020-12-03 16:09:58.470,18.8,21.4,65
2020-12-03 16:09:56.193,18.8,21.4,65
2020-12-03 16:09:53.919,18.8,21.4,66
2020-12-03 16:09:51.646,18.8,21.4,66
2020-12-03 16:09:49.369,18.8,21.4,66
2020-12-03 16:09:47.096,18.8,21.4,66
2020-12-03 16:09:44.822,18.8,21.4,66
2020-12-03 16:09:42.545,18.8,21.5,67
2020-12-03 16:09:40.272,18.8,21.5,67
2020-12-03 16:09:37.998,18.8,21.5,67
2020-12-03 16:09:35.721,18.8,21.6,67
2020-12-03 16:09:33.448,18.8,21.6,67
2020-12-03 16:09:31.171,18.8,21.6,67
2020-12-03 16:09:28.898,18.8,21.5,66
2020-12-03 16:09:26.625,18.8,21.5,66
2020-12-03 16:09:24.347,18.8,21.5,66
2020-12-03 16:09:22.074,18.8,21.5,66
2020-12-03 16:09:19.801,18.8,21.5,66
2020-12-03 16:09:17.524,18.8,21.5,66
2020-12-03 16:09:15.250,18.8,21.5,65
2020-12-03 16:09:12.977,18.8,21.5,66
2020-12-03 16:09:10.700,18.8,21.4,66
2020-12-03 16:09:08.426,18.8,21.4,65
2020-12-03 16:09:06.149,18.8,21.4,66
2020-12-03 16:09:03.876,18.8,21.4,65
2020-12-03 16:09:01.603,18.8,21.4,65
2020-12-03 16:08:59.325,18.8,21.4,65
2020-12-03 16:08:57.052,18.8,21.4,65
2020-12-03 16:08:54.779,18.8,21.3,65
2020-12-03 16:08:52.501,18.8,21.3,65
2020-12-03 16:08:50.228,18.8,21.3,65
2020-12-03 16:08:47.955,18.8,21.3,65
2020-12-03 16:08:45.678,18.8,21.3,65
2020-12-03 16:08:43.404,18.8,21.3,65
2020-12-03 16:08:41.131,18.8,21.3,65
2020-12-03 16:08:38.854,18.8,21.3,66
2020-12-03 16:08:36.580,18.8,21.3,66
2020-12-03 16:08:34.307,18.8,21.2,66
2020-12-03 16:08:32.030,18.8,21.2,66
2020-12-03 16:08:29.757,18.8,21.2,67
2020-12-03 16:08:27.483,18.8,21.2,67
2020-12-03 16:08:25.206,18.8,21.2,67
2020-12-03 16:08:22.933,18.8,21.3,67
2020-12-03 16:08:20.659,18.8,21.3,67
2020-12-03 16:08:18.382,18.8,21.3,67
2020-12-03 16:08:16.109,18.8,21.4,67
2020-12-03 16:08:13.836,18.8,21.4,66
2020-12-03 16:08:11.558,18.8,21.4,66
2020-12-03 16:08:09.285,18.8,21.4,66
2020-12-03 16:08:07.012,18.8,21.4,66
2020-12-03 16:08:04.734,18.8,21.4,66
2020-12-03 16:08:02.461,18.8,21.4,66
2020-12-03 16:08:00.188,18.8,21.4,66
2020-12-03 16:07:57.910,18.8,21.4,66
2020-12-03 16:07:55.637,18.8,21.4,65
2020-12-03 16:07:53.360,18.8,21.4,63
2020-12-03 16:07:51.087,18.7,21.3,63
2020-12-03 16:07:48.813,18.7,21.4,63
2020-12-03 16:07:46.536,18.7,21.4,63
2020-12-03 16:07:44.263,18.7,21.4,63
2020-12-03 16:07:41.990,18.7,21.4,63
2020-12-03 16:07:39.712,18.7,21.4,61
2020-12-03 16:07:37.439,18.7,21.4,63
2020-12-03 16:07:35.166,18.7,21.4,65
2020-12-03 16:07:32.888,18.7,21.4,65
2020-12-03 16:07:30.615,18.7,21.4,65
2020-12-03 16:07:28.342,18.7,21.3,66
2020-12-03 16:07:26.064,18.7,21.3,66
2020-12-03 16:07:23.791,18.7,21.3,66
2020-12-03 16:07:21.514,18.7,21.3,66
2020-12-03 16:07:19.240,18.7,21.3,67
2020-12-03 16:07:16.967,18.7,21.3,67
2020-12-03 16:07:14.690,18.7,21.3,67
2020-12-03 16:07:12.416,18.7,21.3,66
2020-12-03 16:07:10.143,18.7,21.3,65
2020-12-03 16:07:07.866,18.7,21.3,65
2020-12-03 16:07:05.593,18.7,21.3,65
2020-12-03 16:07:03.319,18.7,21.3,64
2020-12-03 16:07:01.042,18.7,21.3,64
2020-12-03 16:06:58.769,18.7,21.4,64
2020-12-03 16:06:56.495,18.7,21.4,64
2020-12-03 16:06:54.218,18.7,21.4,64
2020-12-03 16:06:51.945,18.7,21.4,65
